anchor,positive
Fortune Men Black Leather Formal Slip-Ons,"A pair of black round-toed formal slip-on shoes, has elasticated gussets on both sidesLeather upperCushioned footbedTextured TPR outsole, has a stacked heel"
Shiseido 04 Aura Pink InnerGlow CheekPowder 4 g,"Shade Number: 04Shade Name:  Aura Pink What it is:This blush and highlighter hybrid is the future of cheek color thanks to a unique cream-powder matrix system that helps this airy powder stay put for eight hours.What it does:In addition to the formula's high color payoff and superior glide, refined mica provides a lit-from-within glow. Similar to a silk kimono, this featherweight formula floats effortlessly over skin, delivering an instant, illuminating flush or a subtle contour without streaking. Available in ten light-reflecting shades.This product is dermatologist-tested. It is free of oil and fragrance.About the Brand: Shiseido is a global, Japanese cosmetics and skincare brand with unique Asian heritage, strong business innovation and positive country-of-origin effects. Shiseido makeup represents an exceptional collection of high-performance colors and textures, created to celebrate and enhance your natural beauty."
Park Avenue Men Brown Regular Fit Solid Formal Trousers,"Brown solid mid-rise trousers, button closure, and 4 pocketsThe stylist has paired this pair of trousers with a belt. This pair of trousers does not come with a belt"
Geox Men Brown Solid Leather Formal Derbys,"A pair of round-toe brown formal derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer"
Bene Kleed Men Red & Off-White Slim Fit Checked Casual Shirt,"Red and off-white checked casual shirt, has a button-down collar, long sleeves, button placket,  curved hem, one patch pocket"
SEJ by Nisha Gupta Green Printed Table Runner,Set content: One runnerType: Table runnerColour: GreenFabric: PolycottonShape: RectangularPattern: PrintedDisclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.
Sera Women Yellow & Grey Printed Kurta with Palazzos,"Yellow and grey printed kurta with palazzos Yellow and grey straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsYellow and grey  Solid palazzos, has partially elasticated waistband, button closure"
Park Avenue Men Brown Slim Fit Solid Formal Shirt,"Brown solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Moedbuille Women Multicoloured Silver-Plated Handcrafted Jewellery Set,"This jewellery set consists of a necklace and a pair of earringsMulticoloured silver-plated handcrafted mult-stranded necklace, has textured and stone-studded detail, a centre piece with multiple danglers, secured with an adjustable lobster claspA pair of matching stud earrings, secured with post and back closure"
SHISEIDO 523 Majo ModernMatte Powder Lipstick 4g,"Shade Number: 523Shade Name: MajoWhat it is:This non-drying formula delivers matte, full-coverage color that feels utterly weightless and provides a powder-soft finish on lips.What it does:A unique blend of waxes and oils melts and transforms into an ultra-thin, featherweight powder, while spherical pigments float across lips to blur imperfections. Available in 24 shades inspired by Tokyo's vibrant nightlife, this statement-making lipstick provides eight hours of rich, velvety color. Dermatologist-tested.Features:Velvet Powders: Lend lips a matte, airbrushed finish that stays put for eight hours.Optical Brightening Pigments: Provide intense, vibrant color.Lightweight Waxes and Oils: Create a hydrating-yet-weightless veil of color that melts seamlessly onto lips."
ExclusiveLane Brown Wall Mounted Wooden Hand Carving Key Holder,Set Content: One keyholderColour: BrownPattern: OwlType: Wall-mounted keyholderFEATURES:- Perfect to organize all your keys at one place. - Can hold up to 6 keys.- Acts as a wall decor & enhances the beauty of your wall.- The key holder is hand carved in wood depicting owl motif.- Hand Carved in Sheesham Wood.- The product has been made by hand and may have slight irregularities that are a natural outcome of the human involvement in the process.- Comes in dark brown color.
Blue Saint Men Black & Blue Striped Round Neck T-shirt,"Black and blue striped T-shirt, has a round neck, short sleeves, one pocket"
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Briefs XYBRF2PCKN277,"Pack of 2 briefs in Black & Blue with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
Shiseido 01 Inner Light InnerGlow CheekPowder 4 g,"Shade Number:01Shade Name: Inner Light What it is:This blush and highlighter hybrid is the future of cheek color thanks to a unique cream-powder matrix system that helps this airy powder stay put for eight hours.What it does:In addition to the formula's high color payoff and superior glide, refined mica provides a lit-from-within glow. Similar to a silk kimono, this featherweight formula floats effortlessly over skin, delivering an instant, illuminating flush or a subtle contour without streaking. Available in ten light-reflecting shades.This product is dermatologist-tested. It is free of oil and fragrance.About the Brand: Shiseido is a global, Japanese cosmetics and skincare brand with unique Asian heritage, strong business innovation and positive country-of-origin effects. Shiseido makeup represents an exceptional collection of high-performance colors and textures, created to celebrate and enhance your natural beauty."
Park Avenue Men Blue Slim Fit Self Design Formal Shirt,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
Park Avenue Women Red & Off-White Regular Fit Checked Casual Shirt,"Red and off-white checked casual shirt, has a spread collar, long sleeves, button placket, and high-low hem"
XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN139,"Pack of 3 Black, White & Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
XYXX Men Printed Pack of 2 Remix Pure Cotton Boxer XYBOX2PCKN155,"Pack of 2 Yellow & Light Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
Park Avenue Men Blue Slim Fit Printed Formal Shirt,"Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
MASPAR White Printed Double Bed Duvet Cover,Set content: 1 duvet cover Size: Double bed(Queen) Colour: White Pattern: Geometric GSM: 250 GSM
XYXX Men Checkered Pack of 5 Checkmate Pure Cotton Boxer XYBOX5PCKN05,"Pack of 5 Navy+Grey+Red & Black  regular-fit checked boxers with a microfibre waistband.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Single back patch pocket to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Trunks XYTRNK2PCKN237,"Pack of 2 trunks in Blue & Navy with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
Geox Women Black Sequinned Slip-On Sneakers,"A pair of round-toe black slip-on sneakers, has zip closureSynthetic upper with sequin detailCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer"
shaze Women Silver-Plated CZ-Studded Finger Ring,Silver-plated CZ-studded butterfly-shaped finger ring
Carlton London Women Peach-Coloured Regular Fit Solid Casual Shirt,"Peach-Coloured solid casual shirt, has a mandarin collar, three-quarter sleeves, concealed button placket, and straight hem"
Park Avenue Men Grey Regular Fit Solid Formal Trousers,"Grey solid mid-rise formal trousers, has a button closure, four pockets       The product does not come with the belt"
Next Look Men Black & White Regular Fit Checked Formal Shirt,"Black and White checked formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
HERE&NOW Men Navy Blue Colourblocked Padded Jacket,"Navy blue, red and white colourblocked jacket, has a hooded, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining"
W Off-White & Lime Green Printed Kurta,"Off-white and lime green printed kurta, has a round neck, three-quarter sleeves, and side slits"
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Trunks XYTRNK2PCKN230,"Pack of 2 trunks in Navy with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
Next Look Men Grey Striped Polo Collar T-shirt,"Grey striped T-shirt, has a polo collar, short sleeves, and 1 pocket"
MSC Women Pink Solid Open Toe Flats,"A pair of pink open-toed flats, has regular styling, velcro detailSynthetic upperCushioned footbedTextured and patterned outsole"
LOCOMOTIVE Men Black Slim Fit Checked Casual Shirt,"Black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
Geox Women Black Leather Solid Pumps,"A pair of black pointed toe pumps, has regular styling, closed back detailLeather upperCushioned footbedTextured and patterned outsole, has a slim heelWarranty: 6 monthsWarranty provided by brand/manufacturer"
HERE&NOW Women Olive Green Self Design Biker Jacket,"Olive Green self-design jacket, has a lapel collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester"
XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN132,"Pack of 3 Black, Light Blue & Yellow regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
Tulsattva Women Yellow & Beige Solid A-Line Kurta,"Yellow and beige solid A-line kurta, has a round neck, three-quarter sleeves, flared hem"
Geox Men Taupe Solid Suede Slip-On Sneakers,"A pair of round-toe taupe solid slip-on sneakers, has regular styling, slip-on detailSuede upperCushioned footbedTextured and patterned outsoleEngineered with waterproof lining Warranty: 6 monthsWarranty provided by brand/manufacturer"
Geox Men Navy Blue Leather Brogues,"A pair of round-toe navy blue brogues, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleEngineered with waterproof liningWarranty: 6 monthsWarranty provided by brand/manufacturer"
DressBerry Women Grey Printed Sweater,"Grey printed sweater, has a round neck, long sleeves, and ribbed hem"
Raymond Men Pink Regular Fit Striped Formal Shirt,"Pink striped formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
SCORPIUS Women Blue Floral Print Maxi Dress,"Blue printed knitted maxi %S, has a boat neck, sleeveless, concealed zip closure, an attached lining, and flared hem"
XYXX Men Checkered Pack of 3 Checkmate Pure Cotton Boxer XYBOX3PCKN109,"Pack of 3 Red, Grey &  Black  regular-fit checked boxers with a microfibre waistband.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Single back patch pocket to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
Park Avenue Men Blue Regular Fit Solid Formal Shirt,"Blue solid formal shirt, has a cutaway collar, long sleeves, button placket,  straight hem, one patch pocket"
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 3 Illuminati Trunks XYTRNK3PCKN377,"Pack of 3 trunks in Blue, Navy & Black with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
Moedbuille Women Pink & Greman Silver Necklace,Pink and orange silver-plated necklaceMaterial and stone type: German Silver with Artificial Stones and BeadsPlating: Silver-PlatedClosure: Lobster ClosureWarranty: 1 monthWarranty provided by brand/manufacturer
SHISEIDO 222 Ginza Red VisionAiry Gel Lipstick 1.6 g,"Shade Number : 222Shade Name: Ginza Red       What it is:Using revolutionary Triple Gel Technology, this breakthrough formula allows high levels of pigment to converge with water for cushiony, comfortable, weightless color that stays put for six hours.What it does:This ultra-sleek lipstick bullet glides on to deliver bold, high-impact color in a single stroke. Available in 28 shades inspired by modern Tokyo. Dermatologist-tested.Features:Triple Gel Technology: Delivers a sensorial feel, true color payoff, and a weightless on the lips.Water Infused: Delivers a cooling sensation upon application.Moisturizing Ingredients: Help keep lips feeling soft and hydrated."
Park Avenue Men Blue Slim Fit Solid Formal Shirt,"Blue solid formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
SEJ by Nisha Gupta Red Printed Table Placemat,Set content: 1 table matShape: RectangleColour: RedPattern: PrintedSuitable For: 1 seater tableMaterial: Cotton
Park Avenue Men Black Slim Fit Solid Formal Trousers,"Black solid mid-rise trousers, button closure, and 4 pockets"
Park Avenue Men Lavender Regular Fit Solid Formal Shirt,"Lavender solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
MIAH Decor Off-White & Maroon 2-Pieces Printed Ceramic Tea Cups Set,Content: 2 pieces cups setPattern: PrintedFinish: GlossyMaterial: CeramicFeatures: Dishwasher and Microwave Safe
Next Look Men Blue Slim Fit Printed Formal Shirt,"Blue printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Geox Men Brown Pointed Toe Leather Formal Shoes,"A pair of brown pointed toe formal shoes with textured detail, has central lace-upsLeather upperCushioned footbedTextured outsole, has a stacked heelWarranty: 6 monthsWarranty provided by Brand Owner / Manufacturer"
Next Look Men Blue Slim Fit Solid Casual Shirt,"Blue solid casual shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Park Avenue Men Peach-Coloured Regular Fit Solid Formal Shirt,"Peach-Coloured solid formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
MBE Women Burgundy Block Print A-Line Kurta,"Burgundy printed A-line kurta, has a mandarin collar, short sleeves, and flared hem"
SHISEIDO 303 Mirror Mauve LacquerInk Lip Shine 6ml,"SHISEIDO 303 Mirror Mauve LacquerInk Lip ShineShade No: 303Shade Name: Mirror MauveWhat It Is:A featherweight lip shine where high-intensity pigment meets the luminosity of a gloss.The unique blend of oils in this hybrid formula offers the shine and comfort of a gloss, while smoothing polymers provide the durable, hydrating color of a lipstick. A custom, concave applicator hugs the contours of the mouth and dispenses the perfect amount of pigment that can be worn alone or layered over other lip products for extra dimension and sheen. Available in 11 shades, this full-coverage fluid deposits inky color with a vivid, vinyl finish.This product is dermatologist-tested."
XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN94,"Pack of 3 Navy, Blue & White regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
Next Look Men Blue Slim Fit Checked Formal Shirt,"Blue checked formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Next Look Men Magenta Slim Fit Solid Formal Shirt,"Magenta solid formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
Park Avenue Men Pink Slim Fit Self Design Formal Shirt,"Pink self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one pocket"
Carlton London Women Black Solid Blouson Top,"Black solid woven blouson top with tie-up detail, has a notched round neck, and short extended sleeves"
Aapno Rajasthan Set of 3 Ceramic Planters,Set Contents: 3 planter potsColour: MulticolouredPattern: TexturedShape: RoundType: Table planterMaterial: Ceramic
MBE Women Black & White Printed Straight Kurta,"Black and white printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits"
Carlton London Women Maroon Solid Maxi Dress,"Maroon solid woven maxi with lace inserts, has shoulder straps, sleeveless, button closure, an attached partial lining, straight hem"
Puma Men Black Propel EL IDP Sneakers,"Product Design Details:A pair of round-toe black sneakers, has regular styling, lace-up detailTextile upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
HERE&NOW Men Black & Blue Colourblocked Reversible Jacket,"Black and blue colourblocked reversible varsity jacketBlack and blue colourblocked reversible varsity jacket, has a mock collar, 4 pockets, zip closure, long sleeves, straight hemBlack solid varsity jacket, has a mock collar, 4 pockets, zip closure, long sleeves, straight hem"
SHISEIDO 221 Code Red VisionAiry Gel Lipstick 1.6 g,"Shade Number : 221Shade Name: Code RedWhat it is:Using revolutionary Triple Gel Technology, this breakthrough formula allows high levels of pigment to converge with water for cushiony, comfortable, weightless color that stays put for six hours.What it does:This ultra-sleek lipstick bullet glides on to deliver bold, high-impact color in a single stroke. Available in 28 shades inspired by modern Tokyo. Dermatologist-tested.Features:Triple Gel Technology: Delivers a sensorial feel, true color payoff, and a weightless on the lips.Water Infused: Delivers a cooling sensation upon application.Moisturizing Ingredients: Help keep lips feeling soft and hydrated."
Soumya Set of 6 Red & Yellow Printed Diwan Set,Set content: One bedsheet with two bolster covers and three cushion covers Bedsheet size: Single Quality: Fine Colour: Red and yellow Print/pattern: Ethnic motifsBolster cover closure: Tie-up Cushion cover closure: Zip
Mast & Harbour Women Navy & Maroon Colourblocked Lightweight Jacket,"Navy Blue and Maroon colourblocked puffer jacket, has a mock collar, 2 pockets, zip closure, long sleeves, straight hem, and nylon lining"
Carlton London Women Teal Blue Lace Top,"Teal blue lace woven regular top, has a round neck, and three-quarter sleeves"
DressBerry Women Mustard Yellow Solid Acrylic Sweater,"Mustard Yellow solid sweater, has a V-neck, long sleeves, and ribbed hem"
Next Look Men Blue Slim Fit Printed Formal Shirt,"Blue printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
SHISEIDO 302- Plexi Pink LacquerInk Lip Shine 6 ml,"Shade name: Plexi pinkShade number: 302What it is:The unique blend of oils in this hybrid formula offers the shine and comfort of a gloss, while smoothing polymers provide the durable, hydrating color of a lipstick. A custom, concave applicator hugs the contours of the mouth and dispenses the perfect amount of pigment that can be worn alone or layered over other lip products for extra dimension and sheen. Available in 12 shades, this full-coverage fluid deposits inky color with a vivid, vinyl finish. Dermatologist-tested.Features:Glossy Oils: Provide a comfortable, non-sticky feel and a lacquer-like finish.Liqui-Ink Technology: Uses a minimal amount of waxes to deposit intense pigment with the weightless glide of a gloss.Ultra-Fine Pigments: Offer intense, full-coverage color that lasts."
XYXX Men Printed Pack of 2 Remix Pure Cotton Boxer XYBOX2PCKN160,"Pack of 2 White & Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
Park Avenue Men Blue Slim Fit Checked Casual Shirt,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN122,"Pack of 3 Yellow, Black & Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Trunks XYTRNK2PCKN233,"Pack of 2 trunks in Black & Blue with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
Park Avenue Men White Regular Fit Solid Formal Shirt,"White solid formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
SHISEIDO 06 Birodo Green InkArtist Shadow Liner Brow Kajal 0. 8g,"Shade Name: Birodo GreenWhat it isThis 4-in-1 liner, kajal, eyeshadow, and brow color creates a striking look with bold, 12-hour waterproof wear, an even glide, and a weightless feelWhat it doesThe smudge-proof, crease-proof, waterproof, and tear- proof formula provides high-impact pigment with aneven glide and a featherweight feel.Features:lts soft, graduatec point is precise enough to create a thin, smooth band along the inner rim of the eye, and also wide enough to be easily swathed across the entire lid. A detachable sharpener maintains the tip for ultimate precision, whia built-in sponge can be used to blend for a seamless, smoky finish. Available in 6 shades inspired by ancient and modern Japan.This product is dermatologist- and ophthalmologist- tested.It is formulated without oil, fragrance, and talc."
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 3 Illuminati Briefs XYBRF3PCKN353,"Pack of 3 briefs in Black & Navy with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
Bitiya by Bhama Girls Mustard Empire Dress,"Mustard embellished woven empire %S, has a round neck, short sleeves, button closure, and flared hem"
Sera Women Yellow & Grey Printed Kurta with Palazzos,"Yellow and grey printed kurta with palazzosYellow and grey straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsWhite solid palazzos, has partially elasticated waistband, button closure"
Moedbuille Silver-Plated & Blue Multi Layered Afghan Design Oxidised Necklace,Blue and silver-toned afghan necklaceMaterial and stone type: German Silver with Artificial Stones and BeadsPlating: Silver-PlatedClosure: Lobster ClosureWarranty: 1 monthWarranty provided by brand/manufacturer
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 3 Vibe Briefs XYBRF5PCKN101,"Pack of 5 briefs in Green, black & Green with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
MSC Women Gold-Toned Solid Open Toe Flats,"A pair of gold-toned open-toed flats, has regular styling, no back strap detail, has embellished detailSynthetic upperCushioned footbedTextured and patterned outsole"
Next Look Men Red Slim Fit Solid Formal Shirt,"Red solid casual shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 pocket"
ExclusiveLane Brown Wooden Handcrafted  Owl Motif Cutlery Holder,"Type: Cutlery and stationery holderColour: BrownPattern: OwlFEATURES:- Ideal for storing day-to-day dining cutlery like spoons, forks, etc.- Can also be used as utility container or knick-knacks holder to organize your work desk and can also be used to keep stationery items.- Comes with 2 partitions to store cutlery & napkins separately.- The cutlery holder is hand carved in wood depicting the owl motif.- Hand Carved in Sheesham Wood.- The product has been made by hand and may have slight irregularities that are a natural outcome of the human involvement in the process."
Park Avenue Men Blue Regular Fit Printed Formal Shirt,"Blue printed formal shirt, has a spread collar, short sleeves, button placket,  straight hem, one patch pocket"
Ecko Unltd Men Off-White & Maroon Slim Fit Checked Casual Shirt,"Off-White and Maroon checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Park Avenue Men Teal Green Solid Polo Collar T-shirt,"Teal green solid T-shirt, has a polo collar, short sleeves, one pocket"
Next Look Men Blue Slim Fit Self Design Formal Shirt,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Park Avenue Men Grey Slim Fit Solid Formal Trousers,"Grey solid mid-rise trousers, button closure, and 4 pocketsThe stylist has paired this pair of trousers with a belt. This pair of trousers does not come with a belt"
Ecko Unltd Men Maroon & Off-White Slim Fit Checked Casual Shirt,"Maroon and Off-white checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
XYXX Men Printed Pack of 2 Remix Pure Cotton Boxer XYBOX2PCKN152,"Pack of 2 Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
SEJ by Nisha Gupta Pink & Grey Printed Table Runner,Set content: One runner Type: Table runner Colour: Pink and grey Fabric: Polycotton Shape: Rectangular Pattern: Floral Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.
XYXX Men Printed Pack of 2 Remix Pure Cotton Boxer XYBOX2PCKN124,"Pack of 2 Navy & Yellow regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
Varanga Women Blue Embroidered Anarkali Kurta,"Blue embroidered anarkali kurta, has a round neck, three-quarter sleeves, flared hem"
Bering Women Black Solar Sapphire Crystal Watches 14631-166,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Black bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 3 yearsWarranty provided by brand/manufacturerComes in a signature BERING case"
Next Look Men White Slim Fit Solid Formal Shirt,"White solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
